,text,targets
0,The principal is unhappy ... we 're cooked .,"[{'span1': [5, 6], 'span_word': 'cooked', 'label': 'nonliteral'}]"
1,The availability of data is likely to lead to a veritable orgy of statistical analysis .,"[{'span1': [11, 12], 'span_word': 'orgy', 'label': 'nonliteral'}]"
2,Love you to the moon and back .,"[{'span1': [4, 7], 'span_word': 'moon back', 'label': 'nonliteral'}]"
3,"Man , your compassion is greater than space .","[{'span1': [7, 8], 'span_word': 'space', 'label': 'nonliteral'}]"
4,Marriage is the grave of love .,"[{'span1': [3, 4], 'span_word': 'grave', 'label': 'nonliteral'}]"
5,I went into the shop and we cleared the shelves out .,"[{'span1': [7, 10], 'span_word': 'cleared shelves', 'label': 'nonliteral'}]"
6,He 's as mad as a hippo with a hernia .,"[{'span1': [6, 10], 'span_word': 'hippo hernia', 'label': 'nonliteral'}]"
7,You 're making a mountain out of a molehill .,"[{'span1': [4, 5], 'span_word': 'mountain', 'label': 'nonliteral'}]"
8,"Speech is silver , but silence is golden .","[{'span1': [2, 8], 'span_word': 'silver golden', 'label': 'nonliteral'}]"
9,No offence but she 's out of the world dumb .,"[{'span1': [5, 9], 'span_word': 'out of the world', 'label': 'nonliteral'}]"
10,Miss Trunchbull 's lips stretched in a glacial smile .,"[{'span1': [7, 8], 'span_word': 'glacial', 'label': 'nonliteral'}]"
11,We 're going to turn this sow 's ear into a silk purse .,"[{'span1': [11, 13], 'span_word': 'silk purse', 'label': 'nonliteral'}]"
12,This one is valuable : you do n't touch a hair of his head .,"[{'span1': [10, 14], 'span_word': 'hair head', 'label': 'nonliteral'}]"
13,He has a watermelon instead of a belly .,"[{'span1': [3, 4], 'span_word': 'watermelon', 'label': 'nonliteral'}]"
14,The argument with my bestfriend turned into a tempest in a teacup .,"[{'span1': [8, 12], 'span_word': 'tempest teacup', 'label': 'nonliteral'}]"
15,"You know , the world could end before I 'd let something happen to you .","[{'span1': [4, 7], 'span_word': 'world could end', 'label': 'nonliteral'}]"
16,We must fight with the force of a typhoon .,"[{'span1': [5, 9], 'span_word': 'force typhoon', 'label': 'nonliteral'}]"
17,These people would follow you to the end of the earth .,"[{'span1': [7, 11], 'span_word': 'end earth', 'label': 'nonliteral'}]"
18,Beauty draws with a single hair .,"[{'span1': [4, 6], 'span_word': 'single hair', 'label': 'nonliteral'}]"
19,You 'll devour the book in a couple of days .,"[{'span1': [2, 3], 'span_word': 'devour', 'label': 'nonliteral'}]"
20,"He hurts everybody , he has a sharp knife instead of a tongue .","[{'span1': [7, 10], 'span_word': 'sharp knife instead', 'label': 'nonliteral'}]"
21,Technology annihilates humanity .,"[{'span1': [1, 2], 'span_word': 'annihilates', 'label': 'nonliteral'}]"
22,I 've been enjoying this tea for all my life .,"[{'span1': [7, 10], 'span_word': 'all my life', 'label': 'nonliteral'}]"
23,"This book is a masterpiece , it is priceless !","[{'span1': [8, 9], 'span_word': 'priceless', 'label': 'nonliteral'}]"
24,Her hair is the same as Rapunzel .,"[{'span1': [4, 7], 'span_word': 'same as rapunzel', 'label': 'nonliteral'}]"
25,You have no conception of the quantity of miserable feeling that passes through me in a day .,"[{'span1': [2, 4], 'span_word': 'no conception', 'label': 'nonliteral'}]"
26,He hiccuped endlessly .,"[{'span1': [2, 3], 'span_word': 'endlessly', 'label': 'nonliteral'}]"
27,My heart 's bleeding right now .,"[{'span1': [3, 4], 'span_word': 'bleeding', 'label': 'nonliteral'}]"
28,The professor destroyed me in front of the class .,"[{'span1': [2, 3], 'span_word': 'destroyed', 'label': 'nonliteral'}]"
29,His nose resembles Pinocchio 's nose when he lies .,"[{'span1': [2, 6], 'span_word': ""resembles pinocchio 's nose"", 'label': 'nonliteral'}]"
30,I feel like I 'm going to burst .,"[{'span1': [5, 8], 'span_word': 'going burst', 'label': 'nonliteral'}]"
31,"I have fever , I ca n't move .","[{'span1': [5, 8], 'span_word': ""ca n't move"", 'label': 'nonliteral'}]"
32,New York is the promised land to him .,"[{'span1': [4, 6], 'span_word': 'promised land', 'label': 'nonliteral'}]"
33,"Even thinking back , it feels like living a fairy tale .","[{'span1': [9, 11], 'span_word': 'fairy tale', 'label': 'nonliteral'}]"
34,My sisters mean more than air to me .,"[{'span1': [3, 6], 'span_word': 'more than air', 'label': 'nonliteral'}]"
35,Moms are more powerful than the sea .,"[{'span1': [6, 7], 'span_word': 'sea', 'label': 'nonliteral'}]"
36,"Well , this travel 's going to be the start of a new life for us .","[{'span1': [12, 14], 'span_word': 'new life', 'label': 'nonliteral'}]"
37,People say Massimo has phenomenal cooking powers .,"[{'span1': [4, 5], 'span_word': 'phenomenal', 'label': 'nonliteral'}]"
38,You should sunbathe ! You look white as a ghost !,"[{'span1': [9, 10], 'span_word': 'ghost', 'label': 'nonliteral'}]"
39,I did not suspect it would be so good : this book is a pit of wonders .,"[{'span1': [14, 17], 'span_word': 'pit wonders', 'label': 'nonliteral'}]"
40,His hand is as cold as an ice box .,"[{'span1': [7, 9], 'span_word': 'ice box', 'label': 'nonliteral'}]"
41,My stomach almost bust .,"[{'span1': [3, 4], 'span_word': 'bust', 'label': 'nonliteral'}]"
42,Faith will move mountains .,"[{'span1': [2, 4], 'span_word': 'move mountains', 'label': 'nonliteral'}]"
43,Her smoldering eyes still scorch my soul .,"[{'span1': [4, 5], 'span_word': 'scorch', 'label': 'nonliteral'}]"
44,The massages at the spa are miraculous .,"[{'span1': [6, 7], 'span_word': 'miraculous', 'label': 'nonliteral'}]"
45,"No more food , I 'm stuffed .","[{'span1': [6, 7], 'span_word': 'stuffed', 'label': 'nonliteral'}]"
46,That girl 's eyes shine like stars .,"[{'span1': [4, 7], 'span_word': 'shine like stars', 'label': 'nonliteral'}]"
47,I felt fireworks in my brain when I set foot in the candy shop .,"[{'span1': [2, 3], 'span_word': 'fireworks', 'label': 'nonliteral'}]"
48,The princess ' lips shame the red rose .,"[{'span1': [4, 5], 'span_word': 'shame', 'label': 'nonliteral'}]"
49,My bank account runs dry .,"[{'span1': [3, 5], 'span_word': 'runs dry', 'label': 'nonliteral'}]"
50,"That joke is so old , the last time I heard it I was riding on a dinosaur .","[{'span1': [17, 18], 'span_word': 'dinosaur', 'label': 'nonliteral'}]"
51,"Insolent boy , I 'll slash you to ribbons !","[{'span1': [8, 9], 'span_word': 'ribbons', 'label': 'nonliteral'}]"
52,I would give my life for a coffee .,"[{'span1': [2, 5], 'span_word': 'give life', 'label': 'nonliteral'}]"
53,I 'll tell you a tale of the boundless blue that is the ocean .,"[{'span1': [8, 9], 'span_word': 'boundless', 'label': 'nonliteral'}]"
54,"After watching the movie , I wanted to put the villain through the wall into the next planet .","[{'span1': [16, 18], 'span_word': 'next planet', 'label': 'nonliteral'}]"
55,"The noise was so great , that it was heard in both the countries .","[{'span1': [13, 14], 'span_word': 'countries', 'label': 'nonliteral'}]"
56,That must be the angel music I hear .,"[{'span1': [4, 6], 'span_word': 'angel music', 'label': 'nonliteral'}]"
